Speaker: HOMBRE 1 A
  Tier Type: po, Annotations Count: 987
    Time Stamp: ('ts229', 'ts230'), Annotation: ña chaypi
    Time Stamp: ('ts231', 'ts232'), Annotation: ñaaaaa
    Time Stamp: ('ts233', 'ts234'), Annotation: papa tukunga
    Time Stamp: ('ts257', 'ts258'), Annotation: yaaaa
    Time Stamp: ('ts275', 'ts276'), Annotation: aaaari
    Time Stamp: ('ts277', 'ts278'), Annotation: ariii
    Time Stamp: ('ts279', 'ts280'), Annotation: yaa
    Time Stamp: ('ts281', 'ts282'), Annotation: yyyyyyyy
    Time Stamp: ('ts283', 'ts284'), Annotation: kutin kay ladupash
    Time Stamp: ('ts285', 'ts286'), Annotation: taaaayta 
    Time Stamp: ('ts287', 'ts288'), Annotation: Lucho
    Time Stamp: ('ts289', 'ts290'), Annotation: o na
    Time Stamp: ('ts296', 'ts299'), Annotation: ahhh ya
    Time Stamp: ('ts301', 'ts302'), Annotation: chay tayta Olmedaba
    Time Stamp: ('ts305', 'ts306'), Annotation: ña
    Time Stamp: ('ts310', 'ts313'), Annotation: mmmmm
    Time Stamp: ('ts325', 'ts326'), Annotation: piti chay gastu kushkakunata
    Time Stamp: ('ts328', 'ts331'), Annotation: ariii
    Time Stamp: ('ts332', 'ts334'), Annotation: ari
    Time Stamp: ('ts336', 'ts338'), Annotation: ari
    Time Stamp: ('ts341', 'ts342'), Annotation: nima 
    Time Stamp: ('ts343', 'ts344'), Annotation: nima 
    Time Stamp: ('ts345', 'ts346'), Annotation: kaydaga nallima uyarishga
    Time Stamp: ('ts347', 'ts348'), Annotation: nima llakikuna
    Time Stamp: ('ts393', 'ts394'), Annotation: mmmmm
    Time Stamp: ('ts395', 'ts396'), Annotation: ari, ari
    Time Stamp: ('ts397', 'ts398'), Annotation: shina uraladukunaman
    Time Stamp: ('ts399', 'ts400'), Annotation: shina ladumikajun
    Time Stamp: ('ts401', 'ts402'), Annotation: illita
    Time Stamp: ('ts403', 'ts404'), Annotation: kunun tamiajpiiiiiii
    Time Stamp: ('ts405', 'ts406'), Annotation: shina contento 
    Time Stamp: ('ts407', 'ts408'), Annotation: kajunchi 
    Time Stamp: ('ts409', 'ts410'), Annotation: ya 
    Time Stamp: ('ts411', 'ts412'), Annotation: tamiagu shamupi ña
    Time Stamp: ('ts413', 'ts414'), Annotation: kutin imauras 
    Time Stamp: ('ts415', 'ts416'), Annotation: tarpungapa 
    Time Stamp: ('ts417', 'ts418'), Annotation: nishpa 
    Time Stamp: ('ts451', 'ts452'), Annotation: haaaaa
    Time Stamp: ('ts453', 'ts454'), Annotation: ya 
    Time Stamp: ('ts457', 'ts458'), Annotation: mmm
    Time Stamp: ('ts459', 'ts460'), Annotation: ya ya 
    Time Stamp: ('ts461', 'ts462'), Annotation: mes de eneromandaga 
    Time Stamp: ('ts463', 'ts464'), Annotation: ahstaaaaaaaa
    Time Stamp: ('ts465', 'ts466'), Annotation: ima killakamanda
    Time Stamp: ('ts467', 'ts468'), Annotation: papaguata tarpungichi
    Time Stamp: ('ts495', 'ts496'), Annotation: haaaaa
    Time Stamp: ('ts533', 'ts535'), Annotation: mmmmm
    Time Stamp: ('ts566', 'ts569'), Annotation: aaaaa
    Time Stamp: ('ts589', 'ts590'), Annotation: mm
    Time Stamp: ('ts591', 'ts592'), Annotation: ya
    Time Stamp: ('ts593', 'ts594'), Annotation: tiempo
    Time Stamp: ('ts595', 'ts596'), Annotation: camhiariran
    Time Stamp: ('ts597', 'ts598'), Annotation: ashkata 
    Time Stamp: ('ts602', 'ts603'), Annotation: ñukash 
    Time Stamp: ('ts604', 'ts606'), Annotation: rikunimi 
    Time Stamp: ('ts607', 'ts608'), Annotation: tiempoka
    Time Stamp: ('ts609', 'ts610'), Annotation: ashkatami cambiarishka kajun 
    Time Stamp: ('ts611', 'ts612'), Annotation: ñaaaaaa
    Time Stamp: ('ts613', 'ts614'), Annotation: sharungunaga
    Time Stamp: ('ts615', 'ts616'), Annotation: ñaaaa
    Time Stamp: ('ts617', 'ts618'), Annotation: guatab
    Time Stamp: ('ts619', 'ts620'), Annotation: sarun guatan
    Time Stamp: ('ts621', 'ts622'), Annotation: agusdutaka 
    Time Stamp: ('ts623', 'ts624'), Annotation: mashnata 
    Time Stamp: ('ts625', 'ts626'), Annotation: tamiankarkanchi 
    Time Stamp: ('ts627', 'ts630'), Annotation: kunun guataga ña
    Time Stamp: ('ts631', 'ts632'), Annotation: kimsa punllaguatalla
    Time Stamp: ('ts633', 'ts634'), Annotation: charinchi tamada
    Time Stamp: ('ts635', 'ts639'), Annotation: uraladuman
    Time Stamp: ('ts651', 'ts652'), Annotation: haaaaa
    Time Stamp: ('ts653', 'ts655'), Annotation: ya, ya, ya
    Time Stamp: ('ts661', 'ts662'), Annotation: shina 
    Time Stamp: ('ts663', 'ts664'), Annotation: kayyyy
    Time Stamp: ('ts665', 'ts666'), Annotation: kayladugumanga 
    Time Stamp: ('ts667', 'ts668'), Annotation: nada mas 
    Time Stamp: ('ts669', 'ts670'), Annotation: nachu 
    Time Stamp: ('ts671', 'ts672'), Annotation: taugrika tukun 
    Time Stamp: ('ts725', 'ts726'), Annotation: mmm
    Time Stamp: ('ts727', 'ts729'), Annotation: ya, ya 
    Time Stamp: ('ts731', 'ts732'), Annotation: allimi, allimi gan
    Time Stamp: ('ts733', 'ts734'), Annotation: ña
    Time Stamp: ('ts735', 'ts736'), Annotation: nallu
    Time Stamp: ('ts737', 'ts738'), Annotation: avenaaaaa
    Time Stamp: ('ts739', 'ts740'), Annotation: nishgata 
    Time Stamp: ('ts741', 'ts742'), Annotation: jichashkayman 
    Time Stamp: ('ts743', 'ts744'), Annotation: cosechashkangichi
    Time Stamp: ('ts777', 'ts778'), Annotation: mmmmm
    Time Stamp: ('ts779', 'ts780'), Annotation: ya, ya, ya 
    Time Stamp: ('ts781', 'ts782'), Annotation: ñuka 
    Time Stamp: ('ts786', 'ts788'), Annotation: mmm
    Time Stamp: ('ts789', 'ts790'), Annotation: avena 
    Time Stamp: ('ts791', 'ts792'), Annotation: kunan 
    Time Stamp: ('ts793', 'ts794'), Annotation: kunan
    Time Stamp: ('ts795', 'ts796'), Annotation: treintayocho dolar
    Time Stamp: ('ts797', 'ts798'), Annotation: quintal cajunga
    Time Stamp: ('ts801', 'ts802'), Annotation: treintayochoma man el quintal
    Time Stamp: ('ts803', 'ts804'), Annotation: chaygumash
    Time Stamp: ('ts805', 'ts806'), Annotation: kayman tukuna
    Time Stamp: ('ts807', 'ts808'), Annotation: kaygari 
    Time Stamp: ('ts809', 'ts811'), Annotation: yangachu pagana 
    Time Stamp: ('ts813', 'ts815'), Annotation: que mas 
    Time Stamp: ('ts816', 'ts818'), Annotation: tukun 
    Time Stamp: ('ts819', 'ts821'), Annotation: kaykunaka 
    Time Stamp: ('ts829', 'ts830'), Annotation: mmmmm
    Time Stamp: ('ts831', 'ts832'), Annotation: yaa
    Time Stamp: ('ts833', 'ts834'), Annotation: alli, allima 
    Time Stamp: ('ts835', 'ts836'), Annotation: (....................)
    Time Stamp: ('ts837', 'ts838'), Annotation: ñapash 
    Time Stamp: ('ts839', 'ts840'), Annotation: yapaga 
    Time Stamp: ('ts841', 'ts842'), Annotation: tayta Alcidezga mayta puringi
    Time Stamp: ('ts869', 'ts870'), Annotation: aaaaaaa
    Time Stamp: ('ts871', 'ts873'), Annotation: ari
    Time Stamp: ('ts875', 'ts876'), Annotation: ari
    Time Stamp: ('ts877', 'ts878'), Annotation: mmmmmmmmmmmm
    Time Stamp: ('ts879', 'ts880'), Annotation: ñuka cuñaduga
    Time Stamp: ('ts881', 'ts882'), Annotation: kay ladutachu
    Time Stamp: ('ts883', 'ts884'), Annotation: purijupan 
    Time Stamp: ('ts885', 'ts886'), Annotation: nachu maymanbash rijupan 
    Time Stamp: ('ts895', 'ts897'), Annotation: allimi, allimi
    Time Stamp: ('ts923', 'ts924'), Annotation: ari
    Time Stamp: ('ts925', 'ts926'), Annotation: shinama 
    Time Stamp: ('ts927', 'ts928'), Annotation: kaymundayapa 
    Time Stamp: ('ts929', 'ts930'), Annotation: kay 
    Time Stamp: ('ts931', 'ts932'), Annotation: pueshtuga 
    Time Stamp: ('ts933', 'ts934'), Annotation: imashuti 
    Time Stamp: ('ts935', 'ts936'), Annotation: pueshtuta gan
    Time Stamp: ('ts937', 'ts938'), Annotation: kay 
    Time Stamp: ('ts939', 'ts940'), Annotation: kay pustua 
    Time Stamp: ('ts945', 'ts946'), Annotation: Yana urkito chico 
    Time Stamp: ('ts949', 'ts950'), Annotation: aaaaaaaaa
    Time Stamp: ('ts951', 'ts952'), Annotation: ya 
    Time Stamp: ('ts953', 'ts954'), Annotation: maybi gan 
    Time Stamp: ('ts955', 'ts956'), Annotation: Yana urgu grandega  
    Time Stamp: ('ts961', 'ts963'), Annotation: mas jaguaman 
    Time Stamp: ('ts969', 'ts970'), Annotation: mmmmm
    Time Stamp: ('ts971', 'ts973'), Annotation: ya, ya, ya
    Time Stamp: ('ts985', 'ts986'), Annotation: mm ya
    Time Stamp: ('ts993', 'ts994'), Annotation: Yana urku Grande
    Time Stamp: ('ts997', 'ts998'), Annotation: aaaaaaaaalli, alli
    Time Stamp: ('ts999', 'ts1000'), Annotation: allimi 
    Time Stamp: ('ts1001', 'ts1002'), Annotation: asin 
    Time Stamp: ('ts1005', 'ts1006'), Annotation: ari
    Time Stamp: ('ts1007', 'ts1009'), Annotation: chay ñanda 
    Time Stamp: ('ts1010', 'ts1011'), Annotation: katishpa 
    Time Stamp: ('ts1013', 'ts1014'), Annotation: chay ñanda catishpa
    Time Stamp: ('ts1015', 'ts1016'), Annotation: chaykaaaa
    Time Stamp: ('ts1017', 'ts1018'), Annotation: empatan Cochapamba 
    Time Stamp: ('ts1019', 'ts1020'), Annotation: Saquisilima ña
    Time Stamp: ('ts1031', 'ts1032'), Annotation: y Singabiman 
    Time Stamp: ('ts1033', 'ts1034'), Annotation: kaytachu rrin 
    Time Stamp: ('ts1039', 'ts1040'), Annotation: Singabi 
    Time Stamp: ('ts1041', 'ts1042'), Annotation: chaypi
    Time Stamp: ('ts1043', 'ts1044'), Annotation: entrada tiarrka 
    Time Stamp: ('ts1045', 'ts1046'), Annotation: ahi
    Time Stamp: ('ts1047', 'ts1049'), Annotation: Wing
    Time Stamp: ('ts1055', 'ts1056'), Annotation: chaykannnnnn
    Time Stamp: ('ts1057', 'ts1058'), Annotation: chay 
    Time Stamp: ('ts1059', 'ts1060'), Annotation: Cochapambaman rrishpa
    Time Stamp: ('ts1061', 'ts1062'), Annotation: pasanchi 
    Time Stamp: ('ts1063', 'ts1064'), Annotation: chay pambami kan 
    Time Stamp: ('ts1065', 'ts1066'), Annotation: chay 
    Time Stamp: ('ts1067', 'ts1068'), Annotation: kay 
    Time Stamp: ('ts1069', 'ts1071'), Annotation: imashutimi kan 
    Time Stamp: ('ts1075', 'ts1076'), Annotation: chaykaaaa
    Time Stamp: ('ts1077', 'ts1078'), Annotation: casi
    Time Stamp: ('ts1079', 'ts1080'), Annotation: imashutimi kan 
    Time Stamp: ('ts1081', 'ts1082'), Annotation: ja
    Time Stamp: ('ts1083', 'ts1084'), Annotation: Yana urku 
    Time Stamp: ('ts1085', 'ts1086'), Annotation: na 
    Time Stamp: ('ts1087', 'ts1089'), Annotation: imashtimi 
    Time Stamp: ('ts1091', 'ts1092'), Annotation: no, no mijo 
    Time Stamp: ('ts1093', 'ts1094'), Annotation: imashutimi 
    Time Stamp: ('ts1097', 'ts1098'), Annotation: Guantukurama kajun 
    Time Stamp: ('ts1099', 'ts1100'), Annotation: chaygaaaaaa
    Time Stamp: ('ts1101', 'ts1102'), Annotation: Salamala
    Time Stamp: ('ts1105', 'ts1106'), Annotation: Salamala chico kan chayka
    Time Stamp: ('ts1108', 'ts1110'), Annotation: chayta pasush rrinchi chayman 
    Time Stamp: ('ts1111', 'ts1112'), Annotation: mm j 
    Time Stamp: ('ts1120', 'ts1123'), Annotation: Yana Urkito 
    Time Stamp: ('ts1124', 'ts1126'), Annotation: na 
    Time Stamp: ('ts1127', 'ts1129'), Annotation: Yana urkuka 
    Time Stamp: ('ts1130', 'ts1131'), Annotation: Yana urkitumi kashka 
    Time Stamp: ('ts1133', 'ts1134'), Annotation: Yanaurkitomi kashka 
    Time Stamp: ('ts1135', 'ts1136'), Annotation: chay janagmi kashka
    Time Stamp: ('ts1137', 'ts1138'), Annotation: Yana urku 
    Time Stamp: ('ts1139', 'ts1140'), Annotation: kay guichiman 
    Time Stamp: ('ts1141', 'ts1143'), Annotation: (............................)
    Time Stamp: ('ts1145', 'ts1146'), Annotation: ari 
    Time Stamp: ('ts1147', 'ts1148'), Annotation: Yana urku chay 
    Time Stamp: ('ts1149', 'ts1150'), Annotation: uraka imati kan 
    Time Stamp: ('ts1151', 'ts1152'), Annotation: ura 
    Time Stamp: ('ts1161', 'ts1162'), Annotation: Manchacasu
    Time Stamp: ('ts1173', 'ts1174'), Annotation: imamanti 
    Time Stamp: ('ts1175', 'ts1176'), Annotation: Manchacasuta 
    Time Stamp: ('ts1177', 'ts1178'), Annotation: shutichishka kan 
    Time Stamp: ('ts1197', 'ts1198'), Annotation: aaaaaaaaa
    Time Stamp: ('ts1199', 'ts1201'), Annotation: ya ya 
    Time Stamp: ('ts1203', 'ts1206'), Annotation: ñukan 
    Time Stamp: ('ts1207', 'ts1208'), Annotation: chimba entradapi
    Time Stamp: ('ts1209', 'ts1210'), Annotation: rrikurkani 
    Time Stamp: ('ts1211', 'ts1212'), Annotation: Wingupana 
    Time Stamp: ('ts1225', 'ts1227'), Annotation: yaaaaaa
    Time Stamp: ('ts1235', 'ts1236'), Annotation: San Bartolokan 
    Time Stamp: ('ts1237', 'ts1239'), Annotation: chayyyyy
    Time Stamp: ('ts1242', 'ts1244'), Annotation: ñukanchi yakurkanchi 
    Time Stamp: ('ts1249', 'ts1250'), Annotation: aaaaaaa
    Time Stamp: ('ts1251', 'ts1252'), Annotation: ya, ya, ya
    Time Stamp: ('ts1259', 'ts1260'), Annotation: yaaaa
    Time Stamp: ('ts1263', 'ts1265'), Annotation: ha, ya
    Time Stamp: ('ts1277', 'ts1279'), Annotation: Wintsa
    Time Stamp: ('ts1281', 'ts1282'), Annotation: aaaaaaa
    Time Stamp: ('ts1283', 'ts1284'), Annotation: yaaaa
    Time Stamp: ('ts1285', 'ts1286'), Annotation: Wintsa chayni kaman 
    Time Stamp: ('ts1287', 'ts1288'), Annotation: aa, ya, ya, ya, ya
    Time Stamp: ('ts1289', 'ts1290'), Annotation: eeeeeeeeeee
    Time Stamp: ('ts1291', 'ts1292'), Annotation: shina 
    Time Stamp: ('ts1293', 'ts1294'), Annotation: Wingupanadaga
    Time Stamp: ('ts1295', 'ts1296'), Annotation: imata nish
    Time Stamp: ('ts1297', 'ts1298'), Annotation: Wingupanata shutichish
    Time Stamp: ('ts1299', 'ts1300'), Annotation: nachu yachangi
    Time Stamp: ('ts1309', 'ts1310'), Annotation: yaaa
    Time Stamp: ('ts1329', 'ts1330'), Annotation: ya
    Time Stamp: ('ts1331', 'ts1333'), Annotation: ñan patapi tian 
    Time Stamp: ('ts1351', 'ts1352'), Annotation: aaaaaaa
    Time Stamp: ('ts1353', 'ts1355'), Annotation: ya, ya 
    Time Stamp: ('ts1356', 'ts1359'), Annotation: chayllu Wingupanakan 
    Time Stamp: ('ts1362', 'ts1364'), Annotation: aaaaaa
    Time Stamp: ('ts1365', 'ts1366'), Annotation: ya
    Time Stamp: ('ts1367', 'ts1368'), Annotation: ñan 
    Time Stamp: ('ts1369', 'ts1370'), Annotation: ñannnn
    Time Stamp: ('ts1371', 'ts1372'), Annotation: allillu gan 
    Time Stamp: ('ts1377', 'ts1378'), Annotation: aaaaa
    Time Stamp: ('ts1379', 'ts1381'), Annotation: ya
    Time Stamp: ('ts1382', 'ts1383'), Annotation: bus rrin chayman 
    Time Stamp: ('ts1399', 'ts1400'), Annotation: yaaaa
    Time Stamp: ('ts1403', 'ts1404'), Annotation: kaymunda 
    Time Stamp: ('ts1405', 'ts1406'), Annotation: mashna 
    Time Stamp: ('ts1407', 'ts1408'), Annotation: tiemputa
    Time Stamp: ('ts1409', 'ts1410'), Annotation: charin
    Time Stamp: ('ts1423', 'ts1424'), Annotation: yaaaaaa
    Time Stamp: ('ts1425', 'ts1426'), Annotation: quince minutos
    Time Stamp: ('ts1427', 'ts1428'), Annotation: aaaaaa
    Time Stamp: ('ts1429', 'ts1430'), Annotation: shinaga 
    Time Stamp: ('ts1431', 'ts1432'), Annotation: alliga
    Time Stamp: ('ts1433', 'ts1434'), Annotation: kaybiga 
    Time Stamp: ('ts1435', 'ts1436'), Annotation: kutiiii
    Time Stamp: ('ts1437', 'ts1438'), Annotation: eeeeee
    Time Stamp: ('ts1439', 'ts1440'), Annotation: tarpushga guashaga
    Time Stamp: ('ts1441', 'ts1442'), Annotation: kay 
    Time Stamp: ('ts1443', 'ts1444'), Annotation: papa gui
    Time Stamp: ('ts1445', 'ts1446'), Annotation: shugshimupiga
    Time Stamp: ('ts1447', 'ts1448'), Annotation: chaiiiiiiiiii
    Time Stamp: ('ts1449', 'ts1450'), Annotation: abunudaga
    Time Stamp: ('ts1451', 'ts1452'), Annotation: imashinachurangichi 
    Time Stamp: ('ts1453', 'ts1454'), Annotation: chayda 
    Time Stamp: ('ts1455', 'ts1456'), Annotation: ñuga
    Time Stamp: ('ts1457', 'ts1458'), Annotation: naaaaa
    Time Stamp: ('ts1459', 'ts1460'), Annotation: intindini
    Time Stamp: ('ts1471', 'ts1472'), Annotation: sin abono 
    Time Stamp: ('ts1484', 'ts1486'), Annotation: yaa
    Time Stamp: ('ts1489', 'ts1490'), Annotation: chayda 
    Time Stamp: ('ts1491', 'ts1492'), Annotation: imashina ningichi
    Time Stamp: ('ts1493', 'ts1494'), Annotation: chay 
    Time Stamp: ('ts1495', 'ts1496'), Annotation: abono 
    Time Stamp: ('ts1497', 'ts1498'), Annotation: churay 
    Time Stamp: ('ts1499', 'ts1500'), Annotation: eeeeee
    Time Stamp: ('ts1501', 'ts1502'), Annotation: papa shugshin
    Time Stamp: ('ts1503', 'ts1504'), Annotation: abonuta chun chay
    Time Stamp: ('ts1505', 'ts1506'), Annotation: chay ima shina 
    Time Stamp: ('ts1507', 'ts1508'), Annotation: Blanquita
    Time Stamp: ('ts1509', 'ts1510'), Annotation: ima shina parrlarka
    Time Stamp: ('ts1511', 'ts1512'), Annotation: na yarini 
    Time Stamp: ('ts1513', 'ts1514'), Annotation: arrgar 
    Time Stamp: ('ts1515', 'ts1516'), Annotation: nircachu
    Time Stamp: ('ts1529', 'ts1531'), Annotation: aaaaaaa
    Time Stamp: ('ts1535', 'ts1536'), Annotation: mmmm
    Time Stamp: ('ts1537', 'ts1538'), Annotation: ya
    Time Stamp: ('ts1553', 'ts1556'), Annotation: ya, ya, ya, ya, ya
    Time Stamp: ('ts1557', 'ts1558'), Annotation: capillaabun
    Time Stamp: ('ts1559', 'ts1560'), Annotation: peru
    Time Stamp: ('ts1561', 'ts1562'), Annotation: ashka gashtu
    Time Stamp: ('ts1563', 'ts1564'), Annotation: nachu 
    Time Stamp: ('ts1565', 'ts1566'), Annotation: derrepente
    Time Stamp: ('ts1569', 'ts1571'), Annotation: teshtigo
    Time Stamp: ('ts1572', 'ts1574'), Annotation: tiashbaga
    Time Stamp: ('ts1575', 'ts1576'), Annotation: kutin 
    Time Stamp: ('ts1577', 'ts1578'), Annotation: na rrecupera tian 
    Time Stamp: ('ts1579', 'ts1580'), Annotation: oooooo
    Time Stamp: ('ts1581', 'ts1582'), Annotation: alguda
    Time Stamp: ('ts1583', 'ts1585'), Annotation: rrecuperayda tian 
    Time Stamp: ('ts1645', 'ts1646'), Annotation: mmmmmm
    Time Stamp: ('ts1647', 'ts1648'), Annotation: ya, ya, ya 
    Time Stamp: ('ts1649', 'ts1650'), Annotation: alli
    Time Stamp: ('ts1651', 'ts1652'), Annotation: alli 
    Time Stamp: ('ts1653', 'ts1654'), Annotation: allimi gan 
    Time Stamp: ('ts1655', 'ts1656'), Annotation: shina gay
    Time Stamp: ('ts1657', 'ts1658'), Annotation: poposh 
    Time Stamp: ('ts1659', 'ts1660'), Annotation: rretoñan
    Time Stamp: ('ts1665', 'ts1666'), Annotation: ya
    Time Stamp: ('ts1669', 'ts1670'), Annotation: mmm
    Time Stamp: ('ts1671', 'ts1672'), Annotation: ya
    Time Stamp: ('ts1673', 'ts1674'), Annotation: chayga 
    Time Stamp: ('ts1675', 'ts1676'), Annotation: ima 
    Time Stamp: ('ts1677', 'ts1678'), Annotation: papaguda kan 
    Time Stamp: ('ts1683', 'ts1685'), Annotation: super chola 
    Time Stamp: ('ts1687', 'ts1688'), Annotation: cayga
    Time Stamp: ('ts1693', 'ts1694'), Annotation: coneja negra
    Time Stamp: ('ts1697', 'ts1698'), Annotation: aaaaaaaa
    Time Stamp: ('ts1699', 'ts1700'), Annotation: ya
    Time Stamp: ('ts1701', 'ts1703'), Annotation: ya, ya,ya
    Time Stamp: ('ts1731', 'ts1733'), Annotation: yaaaaa
    Time Stamp: ('ts1735', 'ts1736'), Annotation: mayjanta 
    Time Stamp: ('ts1737', 'ts1738'), Annotation: mas
    Time Stamp: ('ts1739', 'ts1740'), Annotation: eeeeeeee
    Time Stamp: ('ts1741', 'ts1742'), Annotation: jatushkaaaaaaa
    Time Stamp: ('ts1743', 'ts1744'), Annotation: mas
    Time Stamp: ('ts1745', 'ts1746'), Annotation: genteguna
    Time Stamp: ('ts1747', 'ts1748'), Annotation: rrandin 
    Time Stamp: ('ts1749', 'ts1750'), Annotation: mayjandita mas 
    Time Stamp: ('ts1751', 'ts1752'), Annotation: micunguaba rrandin 
    Time Stamp: ('ts1753', 'ts1754'), Annotation: mayjandita 
    Time Stamp: ('ts1755', 'ts1756'), Annotation: mas 
    Time Stamp: ('ts1757', 'ts1758'), Annotation: kushkigua tia
    Time Stamp: ('ts1779', 'ts1780'), Annotation: aaaaaaa
    Time Stamp: ('ts1795', 'ts1796'), Annotation: aaa
    Time Stamp: ('ts1797', 'ts1798'), Annotation: ya
    Time Stamp: ('ts1813', 'ts1814'), Annotation: nnn
    Time Stamp: ('ts1815', 'ts1816'), Annotation: ña
    Time Stamp: ('ts1829', 'ts1831'), Annotation: mmmmmm
    Time Stamp: ('ts1841', 'ts1842'), Annotation: yaaaaa
    Time Stamp: ('ts1873', 'ts1874'), Annotation: hijolete 
    Time Stamp: ('ts1875', 'ts1876'), Annotation: claro 
    Time Stamp: ('ts1877', 'ts1878'), Annotation: chaybigashga
    Time Stamp: ('ts1879', 'ts1880'), Annotation: perdida
    Time Stamp: ('ts1881', 'ts1883'), Annotation: kulki
    Time Stamp: ('ts1901', 'ts1902'), Annotation: hijo 
    Time Stamp: ('ts1903', 'ts1904'), Annotation: veinti tres 
    Time Stamp: ('ts1905', 'ts1907'), Annotation: veinti cinco 
    Time Stamp: ('ts1909', 'ts1910'), Annotation: y jambiguna 
    Time Stamp: ('ts1911', 'ts1912'), Annotation: fumigangaba
    Time Stamp: ('ts1913', 'ts1915'), Annotation: shinalla
    Time Stamp: ('ts1916', 'ts1917'), Annotation: ashka 
    Time Stamp: ('ts1931', 'ts1933'), Annotation: aaaaaaa
    Time Stamp: ('ts1939', 'ts1940'), Annotation: mm
    Time Stamp: ('ts1941', 'ts1942'), Annotation: ya
    Time Stamp: ('ts1947', 'ts1948'), Annotation: piongunaaaa
    Time Stamp: ('ts1949', 'ts1950'), Annotation: pagashbi 
    Time Stamp: ('ts1951', 'ts1952'), Annotation: trabajangi 
    Time Stamp: ('ts1953', 'ts1954'), Annotation: ooooooo
    Time Stamp: ('ts1998', 'ts2000'), Annotation: mmmmm
    Time Stamp: ('ts2001', 'ts2002'), Annotation: ya
    Time Stamp: ('ts2005', 'ts2006'), Annotation: allimi 
    Time Stamp: ('ts2007', 'ts2008'), Annotation: sinaga 
    Time Stamp: ('ts2009', 'ts2010'), Annotation: kaybi 
    Time Stamp: ('ts2011', 'ts2012'), Annotation: cumbinakunkichi 
    Time Stamp: ('ts2013', 'ts2014'), Annotation: makikungichi 
    Time Stamp: ('ts2015', 'ts2016'), Annotation: familia pura 
    Time Stamp: ('ts2034', 'ts2036'), Annotation: alli 
    Time Stamp: ('ts2037', 'ts2038'), Annotation: alli 
    Time Stamp: ('ts2039', 'ts2040'), Annotation: chayish 
    Time Stamp: ('ts2041', 'ts2042'), Annotation: allimi 
    Time Stamp: ('ts2043', 'ts2044'), Annotation: chay 
    Time Stamp: ('ts2045', 'ts2046'), Annotation: mingaguna 
